risk_id,title,description,damage,reproducibility,exploitability,affected_users,discoverability,total,mitigation,status
S1,Spoofing - HTTP Login Hijacking,HTTP traffic hijacked - JWT captured from login response and used to impersonate user,9,10,8,10,9,9.2,Implement HTTPS/TLS. Reject all HTTP requests.,critical
S2,Spoofing - JWT Replay Attack,JWT Bearer token sent over HTTP - captured from network and replayed to impersonate user,9,10,9,10,9,9.4,Implement HTTPS/TLS. Add JWT expiration and refresh tokens.,critical
S3,Spoofing - MongoDB No Authentication,MongoDB connection without authentication - anyone on network can connect directly,10,10,8,10,7,9.0,Enable MongoDB authentication with strong passwords. Use TLS for connections.,critical
S4,Spoofing - XSS JWT Theft,XSS attack steals JWT from localStorage - attacker impersonates user indefinitely,9,10,7,8,8,8.4,Use httpOnly cookies instead of localStorage. Implement CSP headers. Add JWT expiration.,high
T1,Tampering - Login Request Modification,No TLS allows attacker to modify login request/response in transit,8,10,7,9,8,8.4,Implement HTTPS/TLS everywhere. Use HSTS headers.,high
T2,Tampering - Secret Data Interception,Secret data intercepted and modified in transit over HTTP,8,10,7,9,8,8.4,Implement HTTPS/TLS. Consider end-to-end encryption for secretValue field.,high
T3,Tampering - MongoDB Wire Protocol,MongoDB wire protocol unencrypted - attacker can see and modify queries including plaintext secrets,9,10,7,10,6,8.4,Use TLS for MongoDB connection. Enable wire protocol encryption.,high
T4,Tampering - Response Injection,HTTP allows response tampering - attacker could inject malicious secrets into API responses,7,10,7,8,7,7.8,Implement HTTPS. Add response integrity checks.,high
T5,Tampering - Query Result Modification,Unencrypted MongoDB connection allows intercepting and modifying query results,8,10,7,9,6,8.0,Use TLS for MongoDB connection.,high
T6,Tampering - localStorage Modification,Malicious browser extension can modify JWT in localStorage,6,8,6,7,7,6.8,Use httpOnly + Secure + SameSite cookie flags instead of localStorage.,medium
R1,Repudiation - No Auth Logging,No logging of authentication attempts - user can deny login activity or attacker attempts passwords undetected,6,10,10,8,9,8.6,Log all authentication attempts with timestamp, IP address, user agent, and result.,high
R2,Repudiation - No Secret Access Audit,No audit trail of which secrets were accessed or when - users can access secrets and deny it,7,10,10,10,9,9.2,Log every secret access (view, create, modify, delete) with user ID, timestamp, IP address.,critical
R3,Repudiation - No Database Audit Log,No database audit logging - attacker can modify data and no record exists,7,10,8,10,7,8.4,Enable MongoDB audit logging for all operations.,high
R4,Repudiation - No Response Logging,No logging of what data was sent to users - cannot prove what information was disclosed,6,10,9,9,8,8.4,Log all API responses including which secrets were returned to which user.,high
I1,Information Disclosure - Plaintext Password,Password sent in plaintext over HTTP - any network sniffer can read credentials,10,10,9,10,10,9.8,Implement HTTPS/TLS immediately.,critical
I2,Information Disclosure - Plaintext Secrets Transit,All secrets transmitted in plaintext JSON over HTTP - production API keys and passwords exposed,10,10,10,10,10,10.0,Implement HTTPS/TLS. Consider end-to-end encryption for sensitive fields.,critical
I3,Information Disclosure - Plaintext Secrets DB,All secrets flow from MongoDB to API in plaintext - complete exposure if database compromised,10,10,8,10,7,9.0,Encrypt secrets at rest in MongoDB using AES-256-GCM.,critical
I4,Information Disclosure - DB Credentials Exposed,Database credentials in environment variables - if leaked attacker has full database access,8,10,7,10,6,8.2,Store connection string in secrets manager (AWS Secrets Manager, Azure Key Vault).,high
I5,Information Disclosure - Browser Cache,Browser caches responses - secrets may persist in browser cache or history,6,10,8,7,9,8.0,Set Cache-Control: no-store headers. Never put secrets in URL parameters.,high
I6,Information Disclosure - JWT in DevTools,JWT visible in DevTools - JWT payload is base64-encoded not encrypted,7,10,10,8,10,9.0,Use httpOnly cookies. Minimize JWT payload data. Remove sensitive info from JWT.,critical
D1,Denial of Service - Login Flooding,No rate limiting on login endpoint - attacker can flood with requests to exhaust server resources,6,10,9,8,10,8.6,Implement rate limiting (e.g. 5 attempts per 15 min per IP). Add CAPTCHA after failures.,high
D2,Denial of Service - API Flooding,No pagination or rate limiting on GET /api/items - attacker requests all secrets repeatedly,6,10,9,8,9,8.4,Implement pagination for GET requests. Add rate limiting per user (e.g. 100 req/min).,high
D3,Denial of Service - Connection Exhaustion,No connection pooling limits - attacker can exhaust database connections,7,10,8,9,7,8.2,Configure MongoDB connection pool limits. Implement connection timeouts.,high
E1,Elevation of Privilege - Direct DB Access,Direct database access bypasses API authorization - attacker modifies user roles or grants access to any secret,10,10,9,10,7,9.2,Enable MongoDB authentication. Minimize database user privileges. Use separate read-only and read-write users.,critical
